section,tips_pos,n_species,n_species_lucas_2018,sampling_fraction
Gomidesea,1-24,24,57,0.421052632
Aguava,24-35,9,32,0.28125
Eugeniopsis,34-39,6,22,0.272727273
Tomentosae,40-41,2,9,0.222222222
Clade_10,42-43,2,24,0.083333333
Calyptranthes,44-53,10,277,0.036101083
Sympodiomyrcia,54-61,8,26,0.307692308
Reticulosae,62-66,5,23,0.217391304
Myrcia,67-74,8,120,0.066666667
Aulomyrcia,75-96,22,140,0.157142857
