"x","y","phy_con"
-70.250139328,19.249860674,"B"
-69.75013933,19.249860674,"B"
-69.250139332,19.249860674,"C"
-70.250139328,18.749860676,"B"
-69.75013933,18.749860676,"B"
-69.250139332,18.749860676,"B"
-70.250139328,18.249860678,"B"
-88.750139254,20.749860668,"C"
-87.750139258,20.749860668,"B"
-87.25013926,20.749860668,"C"
-86.750139262,20.749860668,"C"
-89.250139252,20.24986067,"C"
-88.250139256,20.24986067,"B"
-87.750139258,20.24986067,"C"
-86.750139262,20.24986067,"C"
-76.250139304,20.24986067,"C"
-75.750139306,20.24986067,"C"
-75.250139308,20.24986067,"C"
-74.75013931,20.24986067,"B"
-72.750139318,20.24986067,"C"
-89.75013925,19.749860672,"C"
-89.250139252,19.749860672,"C"
-88.250139256,19.749860672,"B"
-87.750139258,19.749860672,"C"
-73.250139316,19.749860672,"C"
-72.750139318,19.749860672,"C"
-72.25013932,19.749860672,"C"
-71.750139322,19.749860672,"C"
-71.250139324,19.749860672,"C"
-70.750139326,19.749860672,"B"
-70.250139328,19.749860672,"C"
-69.75013933,19.749860672,"C"
-89.75013925,19.249860674,"B"
-88.750139254,19.249860674,"B"
-88.250139256,19.249860674,"C"
-72.750139318,19.249860674,"C"
-72.25013932,19.249860674,"B"
-71.750139322,19.249860674,"B"
-71.250139324,19.249860674,"B"
-70.750139326,19.249860674,"B"
-89.250139252,18.749860676,"C"
-88.750139254,18.749860676,"C"
-88.250139256,18.749860676,"C"
-74.250139312,18.749860676,"C"
-72.750139318,18.749860676,"B"
-72.25013932,18.749860676,"B"
-71.750139322,18.749860676,"B"
-70.750139326,18.749860676,"B"
-68.750139334,18.749860676,"C"
-68.250139336,18.749860676,"C"
-95.250139228,18.249860678,"C"
-94.75013923,18.249860678,"C"
-89.75013925,18.249860678,"B"
-89.250139252,18.249860678,"C"
-74.250139312,18.249860678,"B"
-73.750139314,18.249860678,"B"
-73.250139316,18.249860678,"C"
-65.750139346,18.249860678,"C"
-93.250139236,17.74986068,"C"
-92.750139238,17.74986068,"C"
-92.25013924,17.74986068,"C"
-89.75013925,17.74986068,"B"
-89.250139252,17.74986068,"C"
-94.250139232,17.249860682,"C"
-93.750139234,17.249860682,"C"
-93.250139236,17.249860682,"C"
-92.750139238,17.249860682,"C"
-92.25013924,17.249860682,"C"
-91.750139242,17.249860682,"C"
-91.250139244,17.249860682,"B"
-90.750139246,17.249860682,"B"
-90.250139248,17.249860682,"B"
-89.75013925,17.249860682,"C"
-88.750139254,17.249860682,"C"
-88.250139256,17.249860682,"C"
-95.250139228,16.749860684,"C"
-94.250139232,16.749860684,"C"
-93.750139234,16.749860684,"C"
-93.250139236,16.749860684,"C"
-92.750139238,16.749860684,"C"
-92.25013924,16.749860684,"C"
-91.750139242,16.749860684,"C"
-91.250139244,16.749860684,"C"
-90.750139246,16.749860684,"C"
-90.250139248,16.749860684,"B"
-89.75013925,16.749860684,"C"
-89.250139252,16.749860684,"C"
-88.750139254,16.749860684,"C"
-88.250139256,16.749860684,"C"
-95.750139226,16.249860686,"C"
-93.250139236,16.249860686,"C"
-92.750139238,16.249860686,"B"
-92.25013924,16.249860686,"C"
-91.750139242,16.249860686,"C"
-91.250139244,16.249860686,"C"
-90.750139246,16.249860686,"C"
-90.250139248,16.249860686,"C"
-89.75013925,16.249860686,"C"
-89.250139252,16.249860686,"C"
-88.750139254,16.249860686,"C"
-88.250139256,16.249860686,"C"
-86.750139262,16.249860686,"C"
-86.250139264,16.249860686,"C"
-85.750139266,16.249860686,"C"
-93.250139236,15.749860688,"C"
-92.750139238,15.749860688,"C"
-92.25013924,15.749860688,"C"
-91.750139242,15.749860688,"C"
-91.250139244,15.749860688,"C"
-90.750139246,15.749860688,"C"
-90.250139248,15.749860688,"C"
-89.75013925,15.749860688,"C"
-89.250139252,15.749860688,"C"
-88.750139254,15.749860688,"C"
-88.250139256,15.749860688,"C"
-87.750139258,15.749860688,"C"
-87.25013926,15.749860688,"C"
-86.750139262,15.749860688,"C"
-86.250139264,15.749860688,"C"
-85.750139266,15.749860688,"C"
-85.250139268,15.749860688,"C"
-84.75013927,15.749860688,"C"
-84.250139272,15.749860688,"C"
-92.25013924,15.24986069,"C"
-91.250139244,15.24986069,"C"
-90.750139246,15.24986069,"C"
-90.250139248,15.24986069,"C"
-89.75013925,15.24986069,"C"
-89.250139252,15.24986069,"C"
-88.750139254,15.24986069,"C"
-88.250139256,15.24986069,"C"
-87.750139258,15.24986069,"C"
-87.25013926,15.24986069,"C"
-86.750139262,15.24986069,"C"
-86.250139264,15.24986069,"C"
-85.750139266,15.24986069,"C"
-85.250139268,15.24986069,"C"
-84.75013927,15.24986069,"C"
-84.250139272,15.24986069,"C"
-91.750139242,14.749860692,"C"
-91.250139244,14.749860692,"C"
-90.750139246,14.749860692,"C"
-90.250139248,14.749860692,"C"
-89.75013925,14.749860692,"C"
-89.250139252,14.749860692,"C"
-88.750139254,14.749860692,"C"
-88.250139256,14.749860692,"C"
-87.750139258,14.749860692,"C"
-87.25013926,14.749860692,"C"
-86.750139262,14.749860692,"C"
-86.250139264,14.749860692,"C"
-85.750139266,14.749860692,"C"
-85.250139268,14.749860692,"C"
-84.75013927,14.749860692,"C"
-84.250139272,14.749860692,"C"
-83.750139274,14.749860692,"C"
-83.250139276,14.749860692,"C"
-90.750139246,14.249860694,"C"
-89.250139252,14.249860694,"C"
-88.750139254,14.249860694,"C"
-88.250139256,14.249860694,"C"
-87.750139258,14.249860694,"C"
-87.25013926,14.249860694,"C"
-86.750139262,14.249860694,"C"
-86.250139264,14.249860694,"C"
-85.750139266,14.249860694,"C"
-85.250139268,14.249860694,"C"
-84.75013927,14.249860694,"C"
-84.250139272,14.249860694,"C"
-83.750139274,14.249860694,"C"
-83.250139276,14.249860694,"C"
-88.750139254,13.749860696,"C"
-88.250139256,13.749860696,"B"
-87.25013926,13.749860696,"C"
-86.750139262,13.749860696,"C"
-86.250139264,13.749860696,"C"
-85.750139266,13.749860696,"C"
-85.250139268,13.749860696,"C"
-84.75013927,13.749860696,"C"
-84.250139272,13.749860696,"C"
-83.750139274,13.749860696,"C"
-87.750139258,13.249860698,"C"
-86.750139262,13.249860698,"C"
-86.250139264,13.249860698,"C"
-85.750139266,13.249860698,"C"
-85.250139268,13.249860698,"C"
-84.75013927,13.249860698,"C"
-84.250139272,13.249860698,"C"
-83.750139274,13.249860698,"C"
-85.750139266,12.7498607,"C"
-85.250139268,12.7498607,"C"
-84.75013927,12.7498607,"C"
-84.250139272,12.7498607,"C"
-83.750139274,12.7498607,"C"
-85.750139266,12.249860702,"C"
-85.250139268,12.249860702,"C"
-84.75013927,12.249860702,"C"
-84.250139272,12.249860702,"C"
-83.750139274,12.249860702,"C"
-86.250139264,11.749860704,"C"
-85.250139268,11.749860704,"C"
-84.75013927,11.749860704,"C"
-84.250139272,11.749860704,"C"
-83.750139274,11.749860704,"C"
-85.750139266,11.249860706,"C"
-85.250139268,11.249860706,"C"
-84.75013927,11.249860706,"C"
-84.250139272,11.249860706,"C"
-74.250139312,11.249860706,"C"
-73.750139314,11.249860706,"C"
-73.250139316,11.249860706,"C"
-72.750139318,11.249860706,"B"
-85.250139268,10.749860708,"C"
-84.75013927,10.749860708,"C"
-84.250139272,10.749860708,"C"
-74.250139312,10.749860708,"E"
-73.750139314,10.749860708,"E"
-73.250139316,10.749860708,"C"
-72.750139318,10.749860708,"C"
-70.250139328,10.749860708,"B"
-69.250139332,10.749860708,"B"
-68.750139334,10.749860708,"B"
-66.750139342,10.749860708,"C"
-66.250139344,10.749860708,"C"
-61.250139364,10.749860708,"E"
-85.750139266,10.24986071,"C"
-85.250139268,10.24986071,"C"
-84.75013927,10.24986071,"C"
-84.250139272,10.24986071,"C"
-83.750139274,10.24986071,"E"
-83.250139276,10.24986071,"E"
-73.750139314,10.24986071,"C"
-73.250139316,10.24986071,"C"
-72.750139318,10.24986071,"C"
-70.750139326,10.24986071,"B"
-70.250139328,10.24986071,"B"
-69.250139332,10.24986071,"B"
-68.750139334,10.24986071,"B"
-68.250139336,10.24986071,"B"
-67.750139338,10.24986071,"B"
-67.25013934,10.24986071,"B"
-66.750139342,10.24986071,"B"
-66.250139344,10.24986071,"B"
-65.750139346,10.24986071,"E"
-64.250139352,10.24986071,"C"
-63.750139354,10.24986071,"C"
-85.250139268,9.749860712,"C"
-84.75013927,9.749860712,"C"
-84.250139272,9.749860712,"C"
-83.750139274,9.749860712,"C"
-82.750139278,9.749860712,"C"
-73.250139316,9.749860712,"C"
-72.750139318,9.749860712,"C"
-70.750139326,9.749860712,"B"
-70.250139328,9.749860712,"B"
-69.75013933,9.749860712,"C"
-69.250139332,9.749860712,"C"
-68.750139334,9.749860712,"B"
-67.750139338,9.749860712,"B"
-67.25013934,9.749860712,"B"
-66.750139342,9.749860712,"B"
-64.250139352,9.749860712,"B"
-63.750139354,9.749860712,"B"
-83.750139274,9.249860714,"E"
-83.250139276,9.249860714,"C"
-82.750139278,9.249860714,"C"
-82.25013928,9.249860714,"C"
-81.750139282,9.249860714,"C"
-73.250139316,9.249860714,"C"
-72.750139318,9.249860714,"C"
-71.250139324,9.249860714,"C"
-70.750139326,9.249860714,"C"
-70.250139328,9.249860714,"C"
-69.75013933,9.249860714,"C"
-69.250139332,9.249860714,"B"
-64.250139352,9.249860714,"B"
-63.750139354,9.249860714,"B"
-62.25013936,9.249860714,"E"
-61.750139362,9.249860714,"C"
-83.750139274,8.749860716,"E"
-83.250139276,8.749860716,"E"
-82.750139278,8.749860716,"C"
-82.25013928,8.749860716,"B"
-81.750139282,8.749860716,"C"
-81.250139284,8.749860716,"C"
-80.750139286,8.749860716,"C"
-80.250139288,8.749860716,"C"
-73.250139316,8.749860716,"C"
