"x","y"
-70.250139328,19.249860674
-69.75013933,19.249860674
-69.250139332,19.249860674
-70.250139328,18.749860676
-69.75013933,18.749860676
-69.250139332,18.749860676
-70.250139328,18.249860678
-88.750139254,20.749860668
-87.750139258,20.749860668
-87.25013926,20.749860668
-86.750139262,20.749860668
-89.250139252,20.24986067
-88.250139256,20.24986067
-87.750139258,20.24986067
-86.750139262,20.24986067
-76.250139304,20.24986067
-75.750139306,20.24986067
-75.250139308,20.24986067
-74.75013931,20.24986067
-72.750139318,20.24986067
-89.75013925,19.749860672
-89.250139252,19.749860672
-88.250139256,19.749860672
-87.750139258,19.749860672
-73.250139316,19.749860672
-72.750139318,19.749860672
-72.25013932,19.749860672
-71.750139322,19.749860672
-71.250139324,19.749860672
-70.750139326,19.749860672
-70.250139328,19.749860672
-69.75013933,19.749860672
-89.75013925,19.249860674
-88.750139254,19.249860674
-88.250139256,19.249860674
-72.750139318,19.249860674
-72.25013932,19.249860674
-71.750139322,19.249860674
-71.250139324,19.249860674
-70.750139326,19.249860674
-89.250139252,18.749860676
-88.750139254,18.749860676
-88.250139256,18.749860676
-74.250139312,18.749860676
-72.750139318,18.749860676
-72.25013932,18.749860676
-71.750139322,18.749860676
-70.750139326,18.749860676
-68.750139334,18.749860676
-68.250139336,18.749860676
-95.250139228,18.249860678
-94.75013923,18.249860678
-89.75013925,18.249860678
-89.250139252,18.249860678
-74.250139312,18.249860678
-73.750139314,18.249860678
-73.250139316,18.249860678
-65.750139346,18.249860678
-93.250139236,17.74986068
-92.750139238,17.74986068
-92.25013924,17.74986068
-89.75013925,17.74986068
-89.250139252,17.74986068
-94.250139232,17.249860682
-93.750139234,17.249860682
-93.250139236,17.249860682
-92.750139238,17.249860682
-92.25013924,17.249860682
-91.750139242,17.249860682
-91.250139244,17.249860682
-90.750139246,17.249860682
-90.250139248,17.249860682
-89.75013925,17.249860682
-88.750139254,17.249860682
-88.250139256,17.249860682
-95.250139228,16.749860684
-94.250139232,16.749860684
-93.750139234,16.749860684
-93.250139236,16.749860684
-92.750139238,16.749860684
-92.25013924,16.749860684
-91.750139242,16.749860684
-91.250139244,16.749860684
-90.750139246,16.749860684
-90.250139248,16.749860684
-89.75013925,16.749860684
-89.250139252,16.749860684
-88.750139254,16.749860684
-88.250139256,16.749860684
-95.750139226,16.249860686
-93.250139236,16.249860686
-92.750139238,16.249860686
-92.25013924,16.249860686
-91.750139242,16.249860686
-91.250139244,16.249860686
-90.750139246,16.249860686
-90.250139248,16.249860686
-89.75013925,16.249860686
-89.250139252,16.249860686
-88.750139254,16.249860686
-88.250139256,16.249860686
-86.750139262,16.249860686
-86.250139264,16.249860686
-85.750139266,16.249860686
-93.250139236,15.749860688
-92.750139238,15.749860688
-92.25013924,15.749860688
-91.750139242,15.749860688
-91.250139244,15.749860688
-90.750139246,15.749860688
-90.250139248,15.749860688
-89.75013925,15.749860688
-89.250139252,15.749860688
-88.750139254,15.749860688
-88.250139256,15.749860688
-87.750139258,15.749860688
