"","x","y","phy_con","age_bsm_mean","age_bsm_sd","DR_jetz","DR_insitu_bsm_mean","DR_insitu_bsm_sd","DR_prop_bsm_mean","DR_prop_bsm_sd"
"1",-70.250139328,19.249860674,"B",12.2530062255348,2.15917880978223,0.0910803981120444,0.0847883188125869,0.00321637473935514,0.459607495478521,0.0269960301854527
"2",-69.75013933,19.249860674,"B",10.1082452894279,2.27620168320038,0.100772523189606,0.0965140104545983,0.00601537090383272,0.40925312563144,0.0295046111342923
"3",-69.250139332,19.249860674,"C",5.19303940448309,2.43379691151976,0.0882964856541137,0.143321017930613,0.0255324773042428,0.29766316164099,0.0668846277298503
"4",-70.250139328,18.749860676,"B",12.2530062255348,2.15917880978223,0.0910803981120444,0.0847883188125869,0.00321637473935514,0.459607495478521,0.0269960301854527
"5",-69.75013933,18.749860676,"B",10.1082452894279,2.27620168320038,0.100772523189606,0.0965140104545983,0.00601537090383272,0.40925312563144,0.0295046111342923
"6",-69.250139332,18.749860676,"B",10.1082452894279,2.27620168320038,0.100772523189606,0.0965140104545983,0.00601537090383272,0.40925312563144,0.0295046111342923
"7",-70.250139328,18.249860678,"B",10.1082452894279,2.27620168320038,0.100772523189606,0.0965140104545983,0.00601537090383272,0.40925312563144,0.0295046111342923
"8",-88.750139254,20.749860668,"C",7.21922869039978,3.52536000842525,0.0861527970827191,0.143321017930613,0.0255324773042428,0.465001276384213,0.104485342067201
"9",-87.750139258,20.749860668,"B",19.9408961570847,6.01540647085466,0.0794914667039779,0.0922815325515541,0.0158992458813143,0.899702295769095,0.105252537703578
"10",-87.25013926,20.749860668,"C",6.08144675362412,3.03983908654787,0.0851313497835603,0.143321017930613,0.0255324773042428,0.468748779469444,0.105327402426267
"11",-86.750139262,20.749860668,"C",6.08144675362412,3.03983908654787,0.0851313497835603,0.143321017930613,0.0255324773042428,0.468748779469444,0.105327402426267
"12",-89.250139252,20.24986067,"C",7.21922869039978,3.52536000842525,0.0861527970827191,0.143321017930613,0.0255324773042428,0.465001276384213,0.104485342067201
"13",-88.250139256,20.24986067,"B",19.9408961570847,6.01540647085466,0.0794914667039779,0.0922815325515541,0.0158992458813143,0.899702295769095,0.105252537703578
"14",-87.750139258,20.24986067,"C",6.08144675362412,3.03983908654787,0.0851313497835603,0.143321017930613,0.0255324773042428,0.468748779469444,0.105327402426267
"15",-86.750139262,20.24986067,"C",6.08144675362412,3.03983908654787,0.0851313497835603,0.143321017930613,0.0255324773042428,0.468748779469444,0.105327402426267
"16",-76.250139304,20.24986067,"C",6.08144675362412,3.03983908654787,0.118662917814044,0.143321017930613,0.0255324773042428,0.289928534650788,0.0651466644427008
"17",-75.750139306,20.24986067,"C",6.08144675362412,3.03983908654787,0.118662917814044,0.143321017930613,0.0255324773042428,0.289928534650788,0.0651466644427008
"18",-75.250139308,20.24986067,"C",6.08144675362412,3.03983908654787,0.118662917814044,0.143321017930613,0.0255324773042428,0.289928534650788,0.0651466644427008
"19",-74.75013931,20.24986067,"B",6.76017519248491,2.09863332801821,0.12779430654028,0.154834627907286,0.0342037786367497,0.356392777433596,0.0322055182934344
"20",-72.750139318,20.24986067,"C",6.08144675362412,3.03983908654787,0.111170749119412,0.143321017930613,0.0255324773042428,0.343025199328299,0.0770774342130471
"21",-89.75013925,19.749860672,"C",7.21922869039978,3.52536000842525,0.0861527970827191,0.143321017930613,0.0255324773042428,0.465001276384213,0.104485342067201
"22",-89.250139252,19.749860672,"C",7.21922869039978,3.52536000842525,0.0861527970827191,0.143321017930613,0.0255324773042428,0.465001276384213,0.104485342067201
"23",-88.250139256,19.749860672,"B",19.9408961570847,6.01540647085466,0.0794914667039779,0.0922815325515541,0.0158992458813143,0.899702295769095,0.105252537703578
"24",-87.750139258,19.749860672,"C",5.41444651779984,2.64402000631894,0.081475355176671,0.143321017930613,0.0255324773042428,0.367557622688874,0.0825898462788778
"25",-73.250139316,19.749860672,"C",6.08144675362412,3.03983908654787,0.111170749119412,0.143321017930613,0.0255324773042428,0.343025199328299,0.0770774342130471
"26",-72.750139318,19.749860672,"C",6.08144675362412,3.03983908654787,0.111170749119412,0.143321017930613,0.0255324773042428,0.343025199328299,0.0770774342130471
"27",-72.25013932,19.749860672,"C",6.08144675362412,3.03983908654787,0.111170749119412,0.143321017930613,0.0255324773042428,0.343025199328299,0.0770774342130471
"28",-71.750139322,19.749860672,"C",6.08144675362412,3.03983908654787,0.111170749119412,0.143321017930613,0.0255324773042428,0.343025199328299,0.0770774342130471
"29",-71.250139324,19.749860672,"C",6.08144675362412,3.03983908654787,0.111170749119412,0.143321017930613,0.0255324773042428,0.343025199328299,0.0770774342130471
"30",-70.750139326,19.749860672,"B",6.76017519248491,2.09863332801821,0.12779430654028,0.154834627907286,0.0342037786367497,0.356392777433596,0.0322055182934344
"31",-70.250139328,19.749860672,"C",6.08144675362412,3.03983908654787,0.111170749119412,0.143321017930613,0.0255324773042428,0.343025199328299,0.0770774342130471
"32",-69.75013933,19.749860672,"C",6.08144675362412,3.03983908654787,0.111170749119412,0.143321017930613,0.0255324773042428,0.343025199328299,0.0770774342130471
"33",-89.75013925,19.249860674,"B",19.9408961570847,6.01540647085466,0.0794914667039779,0.0922815325515541,0.0158992458813143,0.899702295769095,0.105252537703578
"34",-88.750139254,19.249860674,"B",19.9408961570847,6.01540647085466,0.0794914667039779,0.0922815325515541,0.0158992458813143,0.899702295769095,0.105252537703578
"35",-88.250139256,19.249860674,"C",6.08144675362412,3.03983908654787,0.0851313497835603,0.143321017930613,0.0255324773042428,0.468748779469444,0.105327402426267
